"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Altitude (m)"	"Altitude WGS84 (m)"	"Speed (m/s)"	"Direction (°)"	"Distance (km)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"	"Satellites"
4.696800600E-2	-1.317385800E0	3.689346110E1	NaN	NaN	NaN	NaN	0.000000000E0	2.000000000E3	0.000000000E0	0.000000000E0
2.007096801E1	-1.317385800E0	3.689346110E1	NaN	NaN	NaN	NaN	0.000000000E0	2.000000000E3	0.000000000E0	0.000000000E0
4.007396801E1	-1.317385800E0	3.689346110E1	NaN	NaN	NaN	NaN	NaN	2.000000000E3	0.000000000E0	0.000000000E0
